Year;Tm;Player;Age;PER;TS%;TRB%;AST%;STL%
1978;BUF;Larry Johnson;23;8;0.216;7.1;23.5;6.1
1978;DEN;Jacky Dorsey;23;9.2;0.317;27.7;6.6;2.4
1978;HOU;Ron Behagen;27;11.6;0.612;11.2;8.9;0
1978;SAS;George Karl;26;3.4;0.436;8.7;18.7;1.5
1978;BOS;Zaid Abdul-Aziz;31;11.5;0.279;31.8;16.5;1.9
1978;PHI;Glenn Mosley;22;0.6;0.404;12.1;14.1;0
1978;HOU;Phil Bond;23;5.3;0.333;10.1;11.9;2.3
1978;PHI;Mike Dunleavy;23;17.4;0.508;3;47.8;2.6
1978;BOS;Bob Bigelow;24;0.6;0.25;12;0;0
1978;DET;Wayman Britt;25;13.5;0.383;13.1;17.7;2.8
1978;NYK;Ticky Burden;24;6.9;0.5;0;7.5;2.9
1978;BOS;Steve Kuberski;30;0.6;0.25;21.8;0;3.2
1978;HOU;John Johnson;30;-2.6;0.376;14.5;11.3;0
1978;SEA;Willie Wise;30;-5.9;0.105;15.3;0;0
1978;DEN;Norm Cook;22;3.8;0.333;15.4;12.6;0
1978;KCK;Andre McCarter;24;-7.2;0;5.7;0;0
1978;KCK;Glenn Hansen;25;-10.9;0;5.7;12.2;4.9
1978;BOS;Jim Ard;29;9.4;0.266;22.6;12.6;0
1978;SEA;Dean Tolson;26;-7.1;0;0;32.8;0
1978;KCK;Bob Bigelow;24;21.4;1;36.5;0;0
1978;IND;Willie Smith;24;2;0;0;16.2;0
1978;CHI;Glenn Hansen;25;-28.8;0;0;0;0
1979;HOU;Moses Malone;23;23.7;0.604;23.2;5.9;1.1
1979;CHI;Artis Gilmore;29;22.3;0.619;17.5;12.9;0.7
1979;DET;M.L. Carr;28;16.3;0.561;9.5;10.8;2.8
1979;LAL;Kareem Abdul-Jabbar;31;25.5;0.612;17.6;18.9;1.1
1979;LAL;Norm Nixon;23;18.2;0.567;4;30.5;2.9
1979;SDC;Randy Smith;30;16.6;0.499;5;17.6;2.6
1979;WSB;Elvin Hayes;33;19.1;0.523;16.2;6.3;1.1
1979;GSW;John Lucas;25;16.9;0.514;4.3;33;2.3
1979;DET;Kevin Porter;28;17.2;0.513;3.5;47;2.3
1979;IND;Johnny Davis;23;14.7;0.511;3.3;21.3;1.5
1979;BOS;Cedric Maxwell;23;19.9;0.676;14.8;10.4;1.5
1979;SEA;Jack Sikma;23;16.3;0.529;18;12.2;1.3
1979;SDC;World B. Free;25;22.1;0.552;5.4;17.1;1.7
1979;SAS;Larry Kenon;26;19.8;0.547;14.1;15.4;2.3
1979;HOU;Calvin Murphy;30;16.1;0.539;3.2;17;1.8
1979;LAL;Jamaal Wilkes;25;16.4;0.544;11.4;10.3;2.1
1979;GSW;Sonny Parker;23;15.5;0.537;8.2;13.6;2.3
1979;SAS;George Gervin;26;23.2;0.591;7.3;11.5;2.1
1979;NJN;Bernard King;22;17.9;0.542;12.3;16.4;1.8
1979;CLE;Campy Russell;27;18.6;0.542;9.6;17.6;1.6
1979;CLE;Jim Chones;29;13.7;0.472;16.2;8.6;0.8
1979;KCK;Otis Birdsong;23;18.4;0.544;6.8;14.4;2
1979;IND;Ricky Sobers;26;14.8;0.523;5.5;22.4;2.2
